text,label,lemmatized_text
i didnt feel humiliated,0,I do not feel humiliated
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,I can go from feel so hopeless to so damned hopeful just from be around someone who care and be awake
im grabbing a minute to post i feel greedy wrong,3,I m grab a minute to post I feel greedy wrong
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,I be ever feel nostalgic about the fireplace I will know that it be still on the property
i am feeling grouchy,3,I be feel grouchy
ive been feeling a little burdened lately wasnt sure why that was,0,I ve be feel a little burden lately be not sure why that be
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5,I ve be take or milligram or time recommend amount and I ve fall asleep a lot fast but I also feel like so funny
i feel as confused about life as a teenager or as jaded as a year old man,4,I feel as confused about life as a teenager or as jade as a year old man
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,I have be with petrona for year I feel that petronas have perform well and make a huge profit
i feel romantic too,2,I feel romantic too
i feel like i have to make the suffering i m seeing mean something,0,I feel like I have to make the suffering I m see mean something
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,I do feel that running be a divine experience and that I can expect to have some type of spiritual encounter
i think it s the easiest time of year to feel dissatisfied,3,I think it s the easy time of year to feel dissatisfied
i feel low energy i m just thirsty,0,I feel low energy I m just thirsty
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,I have immense sympathy with the general point but as a possible proto writer try to find time to write in the corner of life and with no sign of an agent let alone a publishing contract this feel a little precious
i do not feel reassured anxiety is on each side,1,I do not feel reassured anxiety be on each side
i didnt really feel that embarrassed,0,I do not really feel that embarrassed
i feel pretty pathetic most of the time,0,I feel pretty pathetic most of the time
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,I start feel sentimental about doll I have as a child and so begin a collection of vintage barbie doll from the sixty
i now feel compromised and skeptical of the value of every unit of work i put in,4,I now feel compromised and skeptical of the value of every unit of work I put in
i feel irritated and rejected without anyone doing anything or saying anything,3,I feel irritated and reject without anyone do anything or say anything
i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4,I be feel completely overwhelmed I have two strategy that help I to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five thing I be most grateful for
i have the feeling she was amused and delighted,1,I have the feeling she be amuse and delight
i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,I be able to help chai lifeline with your support and encouragement be a great feeling and I be so glad you be able to help I
i already feel like i fucked up though because i dont usually eat at all in the morning,3,I already feel like I fuck up though because I do not usually eat at all in the morning
i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,I still love my so and wish the good for he I can no long tolerate the effect that bm have on our life and the fact that be have turn my so into a bitter angry person who be not always particularly kind to the people around he when he be feel stress
i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0,I feel so inhibited in someone else kitchen like I m paint on someone else picture
i become overwhelmed and feel defeated,0,I become overwhelmed and feel defeat
i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3,I feel kinda appal that she feel like she need to explain in wide and lenghth her body measure etc pp
i feel more superior dead chicken or grieving child,1,I feel more superior dead chicken or grieve child
i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,I get giddy over feel elegant in a perfectly fit pencil skirt
i remember feeling acutely distressed for a few days,4,I remember feel acutely distressed for a few day
i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5,I have see hear and read over the past couple of day I be leave feel impressed by more than a few company
i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3,I climb the hill feeling frustrated that I d pretty much pace entirely wrong for this course and that a factor that have never ever hamper I have make such a dent in the day
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1,I can t imagine a real life scenario where I would be emotionally connect enough with someone to feel totally accept and safe where it it morally acceptable for I to have close and prolonged physical contact and where sex win t be expect subsequently
i am not sure what would make me feel content if anything,1,I be not sure what would make I feel content if anything
i have been feeling the need to be creative,1,I have be feel the need to be creative
i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1,I do however want you to know that if something someone be cause you to feel less then your splendid self step away from they
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3,I feel a bit rude writing to an elderly gentleman to ask for gift because I feel a bit greedy but what be christmas about if not mild greed
i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1,I need you I need someone I need to be protect and feel safe I be small now I find myself in a season of no word
i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,I plan to share my everyday life story travel adventure inspiration and handmade creation with you and hope you will also feel inspire
i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,I already have my christmas tree up I get two and be feel festive which I m sure be spur I to get start on this book
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,I ve wear it once on its own with a little concealer and for the day I m feel brave but do not want to be pale then its perfect
i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1,I feel very strongly passionate about when some jerk off decide to poke and make fun of we
i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0,I be feel so discouraged we be already rob peter to pay paul to get our cow this year but we can not afford to not get the cow this way
i was feeling listless from the need of new things something different,0,I be feel listless from the need of new thing something different
i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1,I lose my special mind but don t worry I m still sane I just want you to feel what I feel while read this book I don t know how many time it be say that sam be special but I can guarantee you it be many more time than what I use in that paragraph do I tell you she be special
i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2,I can t let go of that sad feeling that I want to be accept here in this first home of mine
on a boat trip to denmark,1,on a boat trip to denmark
i stopped feeling cold and began feeling hot,3,I stop feel cold and begin feel hot
i need to feel the dough to make sure its just perfect,1,I need to feel the dough to make sure its just perfect
i found myself feeling a little discouraged that morning,0,I find myself feel a little discourage that morning
i feel selfish and spoiled,3,I feel selfish and spoil
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4,I be stymie a little bit as I write feeling unsure that I might go somewhere with the story unintende
i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1,I bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skin scissor sister valentine the sun feed up kayle who s your daddy gerle awake the unkind u
i feel you know basically like a fake in the realm of science fiction,0,I feel you know basically like a fake in the realm of science fiction
i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0,I hate live under my dad roof because it give he an excuse to be an asshole to I because he s provide for I to live here I think he feel that he need to make I feel as unwelcome as possible so ill leave
i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5,I keep feel pleasantly surprised at his supportiveness and also his ease in new situation
i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1,I have this feeling that if I have anymore vigorous sexual activity in the come yes I misspell that as cumme day part of I will begin to fall off
i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,I feel my mom s graceful warm love smile as I rob the time to nurture myself and heal
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1,I feel in they talk the brother in law be extremely popular the one that have no I to think be so stiff
i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2,I eat I could feel a gentle tingle throughout almost as if I be feel the healing take place at a cellular level
i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4,I feel like we be pressure into be young beautiful thin and depend on the trend have the girl rejuvenate or butt implant
i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4,I begin have they several time a week feeling torture by the hallucination move people and figure sound and vibration
i am now nearly finished the week detox and i feel amazing,5,I be now nearly finish the week detox and I feel amazing
i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3,I feel selfish as I read back to my former post how I have never ask for prayer for other how I never consider that there may be other out there that deserve their prayer answer before my own
i know the pain parents feel when an enraged child becomes violent,3,I know the pain parent feel when an enraged child become violent
i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0,I have be on a roller coaster of emotion over these suppose feeling that something unpleasant be come
i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2,I suppose my own truth need to be share I have not be feel very faithful lately I ve dwell more in doubt and uncertainty than I have in faith
i was feeling brave when i bought it and clearly when i was doing my makeup,1,I be feel brave when I buy it and clearly when I be do my makeup
i am feeling miserable but c i am also the proudest mum on earth,0,I be feel miserable but c I be also the proud mum on earth
i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0,I figure my family love we no matter what but around anyone else I feel embarrassed when michelle go ballistic
i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1,I don t necessarily think f bomb and sex be necessary in all story but I feel reassure when I see they in print journal
i can feel my ovaries aching talking to me as i like to put it,0,I can feel my ovary ache talk to I as I like to put it
i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0,I didn t feel like do much chris and I mostly just take too many picture of unimportant stuff
im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0,I m tired of the book and ready to have it out of here and find out that I be give unsuitable image and then feeling blame for the result do not sit well
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1,I do successfully manage to stretch a mxm canvas I feel that this be an achievement in itself for I and be a worthwhile usage of my money and time I will use the canvas for future brief
i think feelings are one of nay the most important things we have,1,I think feeling be one of nay the most important thing we have
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1,I feel completely honor to be an influence to this young talente fully alive beautiful girl woman
i feel angered and firey,3,I feel angered and firey
