text,label
id say maybe made them feel foolish but that would be reeeeeeally reaching,0
i joined the lds church i admit to feeling somewhat ashamed of my family background in light of the mormon ideal that presented itself to me,0
i must admit i didnt feel like hugging him not because i was angry with him but because i was so disgusted with myself i didnt feel i deserved his affection at that moment,3
i hate that i can still feel if any nerve is damaged badly enough or often enough it looses sensation and will eventually die and you become numb there why cant emotion be the same,0
im actually feeling a little smug,1
i left without a real explanation or a goodbye and i feel like i owe you the loyal visitors to this site the truth,2
i almost always get their soup of the day for my side which is unfailingly super yummy but their salads and fried green beans also top my list if i m feeling adventurous,1
i feel respected for what i m doing,1
i have a really nice feeling about this one and wouldnt at all be surprised if a year or so from now its my favourite song from the entire project by that point,5
i felt absolutely and totally violated as though he had drilled a hole in my head and not only entered my thoughts and feelings but took them away from me claimed them for himself deprived me of my most personal possession,0
i feel like the book was rushed and wrapped up to quick and sookie ended up with sam somehow in a quick minute conversation that made no sense to me,3
i feel a little sad that i ve aged outside of the a href http tvtropes,0
i was born and raised catholic and since i was little i hated going to church sitting in the boring mass walking into the church and feeling nothing whats so ever but scared and nothing there made me believe in god,4
ill hold out on my feelings on that until the third book to see how its resolved,1
i feel these filters have been overused and abused i have to admit that using them can typically make your images feel a bit more artistic or at least help hide any imperfections in your original,0
i hear it it make me feel quite tender,2
ive been feeling uptight and particularly mean and bastardish i went through my personal e mail address book and deleted people whom i havent heard from in a while,4
im tired of feeling like im unsuccessful,0
i hope youre feeling better erik,1
i care about the way people feel and think and their lives very curious person,5
i must admit i feel a bit weird and look for any nonsense to snap and make look pretty with one of their filters,5
i told her that both of us are still friends although maybe we can t be as close as before because i don t want to make her feel uncomfortable anymore,4
i feel like a lot of churches people hide brokenness for fear that they will not be accepted by god or by the people of the church,2
i feel depressed because im not where im supposed to be orezi,0
i feel strong for me and climbing not bad my power endurance still feels about of what it could be maybe less,1
i have a ton of pictures but i didnt really dedicate a post to it and now its almost a month past and i feel ive missed the boat,0
i am more comfortable and while i still feel that i m doing an acceptable job there are always ways to improve my management and implementation,1
i feel violent towards another person,3
im not sure sometimes that im living the life i want to live even if im also not sure that being in london being a lawyer being stuck on the tube or in a meeting would feel any less dull less mundane less banal,0
im feeling like a child who dont know what to do when im hurt,0
i am beginning to feel like one of earths creatures that is more graceful underwater than on land,1
i wasnt keen on this but looking back now i shouldve got it its kinda cute and i didnt feel uber rotten in it either,0
i feel more trusting of the world at the same time,1
i would never feel that heartbroken feeling because it would be so far beneath my shielding feelings,0
i do i really wanna do a good one and just have fun and not want my friends to feel weird and awkward,4
i feel fine and totally relieved but in another hour and a half i ll be needing to go really badly again,1
i feel so numb and so asleep yet every single feeling is so sharp and so full of pain,0
i am merely uncomfortable and very tired feel amazing by comparison,1
i actually debated not having any coffee today because it can spike insulin levels but i feel so exhausted it just happened,0
i am in a situation where i feel just as crappy as i did when i was smoking only five yes of a pack for you mathematicians cigarettes a day,0
i was am feeling delicate i thought a simple one would be best so i went for one of several options in maddhur jaffreys curry easy red lentils with ginger,2
i am not feeling remorseful then he disappears,0
i watch him and i m feeling so thankful right now for such intense emotion such heart piercing love brought about by the sound and view of footsteps,1
i could convince myself to go without feeling ludicrous,0
i heard her sigh on the other side i imagined what she must be feeling she must be angry she can no longer feel sadness shes angry at the world that forgot the people like us the people like me theres nothing wrong with you do you hear me,3
i don t feel greedy of worldly things so it s not a big deal,3
im telling you curry sits in your mouth but doesnt feel uncomfortable,4
i don t know how i feel about the title but they called her a pillow angel because realistically all she could do was lie on the couch and look pretty,1
ive been feeling kinda awkward this week especially today,0
i woke up feeling rather uncomfortable but the feeling quickly passed and i was able to fall back asleep,4
im trying hard not to judge myself and it hurts deeply when i feel like those that are supposed to be supporting me are judging me for what i am going through,1
i no longer feel pressured to constantly do something,4
i feel like im a dirty person now to everyone else even though know one knows i still feel just sick inside,0
i feel like talking about at the moment which pretty much usually means its about dumb links drawing music movies comic books and the occasional rant,0
i feel that giving back to my beloved fans is within the best interest of all,2
i am feeling pleased,1
i bust out the nudes and pinks but when im feeling brave ill go for a pop of color,1
i find myself asking people to repeat and feel mildly idiotic,0
i guess that s why i feel like it s so important to celebrate his life or the life of anyone you love,1
i speak with tom and or kim bellwood i feel significantly more intelligent,1
i still walk away with each day is that even if i daily face battles in the toddler world and feel like inadequate mother who is doomed to fail at this parenting job,0
i feel that my time with him has been the most successful on my mission,1
i feel gloomy whenever it s raining,0
i dun feel angry,3
im feeling skeptical about this,4
i finally started feeling u were sweet,2
i said i have to go and he mumbled something about feeling guilty because he has a wife and kids,0
i went to bed that night feeling pretty rotten and didnt even go anywhere for dinner,0
i feel like abel would be a very gentle person,2
i consider them i feel quite lonely,0
im feeling gloomy even though the sun pours onto my big winter coat and even though i may imagine myself on an island far away from this world of false smiles and the same old conversation,0
i cant help but also feel that i am starting to feel reluctant to spend time with and for him,4
i cant help but feeling pissed and annoyed and did i mentioned frustrated,3
i feel like boasting haha but i love my eyes and my sarcastic brain as mentioned,3
i also feel like even if i fucked up completely and did some crazy stupid ridiculous stuff she d still be there for me,3
i wanted a little more and i went to sleep feeling annoyed that id stayed up late to find out nothing,3
i know it a week has passed and i m starting to feel crappy again,0
i mean really its just a matter of making me feel like im unimportant and thats not hard at all,0
i started to feel really funny,5
i am taking away a message of life is hard so hard sometimes that everything feels too much and men end up doing body shots of hot blondes or us none so smart woman dont need to see it and instead run from it but it is never so hard that it cant be overcome with a little compromise here and there,2
i feel hateful and like i m never gonna be proud of myself,3
i feel exhausted before i work out and yet i end up having a kick ass workout,0
i looked through all these things looked at old photos and re read old fanzines i started to feel incredibly nostalgic and i normally dislike nostalgia,2
i no longer feel the weird wobbly sensation,5
i guess yoga feels like something rich white people do and when i go i feel like i am faking or passing or putting on airs and trying to be something im not,1
im feeling very passionate about art fashion food these days so get excited,1
i love the small cozy feel of horizon as a company and how theyve put family before profits by supporting family farms,2
i spent my days crying with the newborn throwing him in the carseat running kids everywhere dealing with a naughty toddler getting little sleep and generally feeling crappy,0
i countered glaring back at him feeling a little insulted that the submissive blood bank was allowed more food than i was,3
i am what made me me is unpleasant and since this is my blog i feel ok in talking about me on here,1
i am also feeling on top now with all these nominations and loving my awards,2
i feel restless and sometimes ungrateful and unhappy,4
i feel welcomed invited and comfortable,1
i can wake up feeling fine and three hours later be back in bed with some rlq pain thats right lower quadrant people,1
i find to be most prevalent when i feel stressed out are being irritable and feeling anxiety,0
i feel like it discounts the emotional stability of the other person,0
i find that these times are when we can really come together to witness and debate other work and being told that he did not understand the film only left me feeling more disheartened by his actions as i felt that the piece could have been watched purely for the imagery involved,0
i have already read the first ten issues quickly and am already feeling a bit gloomy and nostalgic knowing that i only have nine issues left,0
i got up a little later than i wanted i kept rolling over and going back to sleep and got up feeling unexplainedly abused,0
im just an ordinary girl i get bored i get scared i feel ignored i feel happy i get silly i choke on my own words i make wishes i have dreams,0
i wanted to say yes to his desire but didn t yet know how to be the strong mother that he needed so we d stay indoors for days on end in the winter leaving me feeling somewhat resentful and often hungry,3
i even read her part of the gospels on christmas morning so she could feel that her faith which she so treasured wasnt neglected,2
im feeling a little generous hint hint possible giveaway,1
i were anywhere else i d take it as a good omen of the silver flame but all i feel is longing and distain for this place this faraway place where the silver flame barely shines,2
i could feel after a handful of tortured moments,4
